ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO
629639,4,10.12.2021,20.09.2021,8000,0,,,,,,10.12.2021,10.12.2021,1,4,2021
531406,1,30.03.2021,16.09.2019,816762.5,1,3,,,,,15.04.2025,30.03.2021,1,2,2021
582378,1,10.11.2021,29.09.2021,53304,0,,,,,,15.04.2025,10.11.2021,1,3,2021
529791,1,10.03.2021,18.01.2021,85000,0,,,,,,15.04.2025,10.03.2021,1,2,2021
631520,1,23.12.2021,26.11.2019,208650.06,1,3,,,,,15.04.2025,23.12.2021,1,2,2021
533572,1,11.04.2021,02.03.2021,52000,0,,,,,,15.04.2025,11.04.2021,1,2,2021
546359,1,11.07.2021,07.06.2021,110000,0,,,,,,15.04.2025,11.07.2021,1,2,2021
630569,2,11.12.2021,16.11.2021,5130,0,,,,,,15.04.2025,11.12.2021,1,3,2021
582416,1,10.11.2021,18.08.2021,152000,0,,,,,,15.04.2025,10.11.2021,1,2,2021
545418,1,11.07.2021,03.05.2021,27680,0,,,,,,15.04.2025,11.07.2021,1,2,2021
583593,1,10.11.2021,06.09.2021,3106.5,0,,,,,,15.04.2025,10.11.2021,1,1,2021
551376,1,11.08.2021,22.06.2021,665,0,,,,,,15.04.2025,11.08.2021,1,2,2021
523763,1,14.01.2021,27.11.2020,20000,0,,,,,,15.04.2025,14.01.2021,1,2,2021
523876,1,14.01.2021,08.12.2020,8000,0,,,,,,15.04.2025,14.01.2021,1,2,2021
628043,1,10.12.2021,24.09.2021,100000,0,,,,,,15.04.2025,10.12.2021,1,4,2021
558869,1,11.10.2021,03.09.2021,36667.64,0,,,,,,15.04.2025,11.10.2021,1,2,2021
557048,1,10.10.2021,16.08.2021,10599.5,0,,,,,,15.04.2025,10.10.2021,1,2,2021
583706,1,10.11.2021,27.09.2021,1488,0,,,,,,15.04.2025,10.11.2021,1,3,2021
543679,1,10.07.2021,22.03.2021,150000,0,,,,,,15.04.2025,10.07.2021,1,2,2021
537764,1,11.05.2021,02.03.2021,12000,0,,,,,,15.04.2025,11.05.2021,1,1,2021
542630,1,11.06.2021,17.05.2021,11500,0,,,,,,15.04.2025,11.06.2021,1,2,2021
556759,1,10.10.2021,09.06.2021,30000,0,,,,,,15.04.2025,10.10.2021,1,2,2021
536938,1,10.05.2021,19.03.2021,684829.83,0,,,,,,15.04.2025,10.05.2021,1,2,2021
